id,model_no,description
130,DS-100,"Model DS-100 is a 7.5kW pump operating at 50Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 27.0 mm. The maximum flow is 1500 LPM and the maximum head is 27.0 meters (89 feet). The rated head is 15.0 meters at a rated flow of 1150.0 LPM. More details: https://www.hungpump.com/ds"
131,DS-20,"Model DS-20 is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 35.0 mm. The maximum flow is 960 LPM and the maximum head is 15.5 meters (51 feet). The rated head is 9.0 meters at a rated flow of 620.0 LPM. More details: https://www.hungpump.com/ds"
132,DS-20,"Model DS-20 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 35.0 mm. The maximum flow is 960 LPM and the maximum head is 15.5 meters (51 feet). The rated head is 9.0 meters at a rated flow of 620.0 LPM. More details: https://www.hungpump.com/ds"
133,DS-20,"Model DS-20 is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 15.0 mm. The maximum flow is 700 LPM and the maximum head is 17.0 meters (56 feet). The rated head is 9.0 meters at a rated flow of 455.0 LPM. More details: https://www.hungpump.com/ds"
134,DS-20GA,"Model DS-20GA is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 15.0 mm. The maximum flow is 700 LPM and the maximum head is 17.0 meters (56 feet). The rated head is 9.0 meters at a rated flow of 455.0 LPM. More details: https://www.hungpump.com/ds"
135,DS-20,"Model DS-20 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 15.0 mm. The maximum flow is 700 LPM and the maximum head is 17.0 meters (56 feet). The rated head is 9.0 meters at a rated flow of 455.0 LPM. More details: https://www.hungpump.com/ds"
136,DS-20G,"Model DS-20G is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 35.0 mm. The maximum flow is 960 LPM and the maximum head is 15.5 meters (51 feet). The rated head is 9.0 meters at a rated flow of 620.0 LPM. More details: https://www.hungpump.com/ds"
137,DS-20G,"Model DS-20G is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 35.0 mm. The maximum flow is 960 LPM and the maximum head is 15.5 meters (51 feet). The rated head is 9.0 meters at a rated flow of 620.0 LPM. More details: https://www.hungpump.com/ds"
138,DS-30,"Model DS-30 is a 2.2kW pump operating at 50Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 35.0 mm. The maximum flow is 1200 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 12.0 meters at a rated flow of 800.0 LPM. More details: https://www.hungpump.com/ds"
139,DS-30,"Model DS-30 is a 2.2kW pump operating at 50Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 15.0 mm. The maximum flow is 860 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 12.0 meters at a rated flow of 590.0 LPM. More details: https://www.hungpump.com/ds"
140,DS-30G,"Model DS-30G is a 2.2kW pump operating at 50Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 35.0 mm. The maximum flow is 1200 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 12.0 meters at a rated flow of 800.0 LPM. More details: https://www.hungpump.com/ds"
141,DS-50G,"Model DS-50G is a 3.7kW pump operating at 50Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 35.0 mm. The maximum flow is 1400 LPM and the maximum head is 26.0 meters (85 feet). The rated head is 15.0 meters at a rated flow of 1020.0 LPM. More details: https://www.hungpump.com/ds"
142,DS-50,"Model DS-50 is a 3.7kW pump operating at 50Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 35.0 mm. The maximum flow is 1400 LPM and the maximum head is 26.0 meters (85 feet). The rated head is 15.0 meters at a rated flow of 1020.0 LPM. More details: https://www.hungpump.com/ds"
143,DS-50,"Model DS-50 is a 3.7kW pump operating at 50Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 15.0 mm. The maximum flow is 1300 LPM and the maximum head is 22.0 meters (72 feet). The rated head is 15.0 meters at a rated flow of 750.0 LPM. More details: https://www.hungpump.com/ds"
144,DS-75,"Model DS-75 is a 5.5kW pump operating at 50Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 20.0 mm. The maximum flow is 1400 LPM and the maximum head is 24.0 meters (79 feet). The rated head is 15.0 meters at a rated flow of 1000.0 LPM. More details: https://www.hungpump.com/ds"
145,DSK-05,"Model DSK-05 is a 400W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 15.0 mm. The maximum flow is 270 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 165.0 LPM. More details: https://www.hungpump.com/dsk"
146,DSK-05A,"Model DSK-05A is a 400W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 15.0 mm. The maximum flow is 270 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 165.0 LPM. More details: https://www.hungpump.com/dsk"
147,DSK-05,"Model DSK-05 is a 400W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 15.0 mm. The maximum flow is 270 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 165.0 LPM. More details: https://www.hungpump.com/dsk"
148,DSK-10,"Model DSK-10 is a 750W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 15.0 mm. The maximum flow is 420 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 240.0 LPM. More details: https://www.hungpump.com/dsk"
149,DSK-10A,"Model DSK-10A is a 750W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 15.0 mm. The maximum flow is 420 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 240.0 LPM. More details: https://www.hungpump.com/dsk"
150,DSK-10GA,"Model DSK-10GA is a 750W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 15.0 mm. The maximum flow is 420 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 240.0 LPM. More details: https://www.hungpump.com/dsk"
151,DSK-10,"Model DSK-10 is a 750W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 15.0 mm. The maximum flow is 420 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 240.0 LPM. More details: https://www.hungpump.com/dsk"
152,DSK-10G-3,"Model DSK-10G-3 is a 750W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 15.0 mm. The maximum flow is 420 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 240.0 LPM. More details: https://www.hungpump.com/dsk"
153,DSK-100,"Model DSK-100 is a 7.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 27.0 mm. The maximum flow is 1500 LPM and the maximum head is 27.0 meters (89 feet). The rated head is 15.0 meters at a rated flow of 1150.0 LPM. More details: https://www.hungpump.com/dsk"
154,DSK-20,"Model DSK-20 is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 15.0 mm. The maximum flow is 700 LPM and the maximum head is 17.0 meters (56 feet). The rated head is 9.0 meters at a rated flow of 455.0 LPM. More details: https://www.hungpump.com/dsk"
155,DSK-20,"Model DSK-20 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 15.0 mm. The maximum flow is 700 LPM and the maximum head is 17.0 meters (56 feet). The rated head is 9.0 meters at a rated flow of 455.0 LPM. More details: https://www.hungpump.com/dsk"
156,DSK-20,"Model DSK-20 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 15.0 mm. The maximum flow is 700 LPM and the maximum head is 17.0 meters (56 feet). The rated head is 9.0 meters at a rated flow of 455.0 LPM. More details: https://www.hungpump.com/dsk"
157,DSK-20G-3,"Model DSK-20G-3 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 15.0 mm. The maximum flow is 700 LPM and the maximum head is 17.0 meters (56 feet). The rated head is 9.0 meters at a rated flow of 455.0 LPM. More details: https://www.hungpump.com/dsk"
158,DSK-30,"Model DSK-30 is a 2.2kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 15.0 mm. The maximum flow is 860 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 12.0 meters at a rated flow of 590.0 LPM. More details: https://www.hungpump.com/dsk"
159,DSK-30G-3,"Model DSK-30G-3 is a 2.2kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 15.0 mm. The maximum flow is 860 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 12.0 meters at a rated flow of 590.0 LPM. More details: https://www.hungpump.com/dsk"
160,DSK-50,"Model DSK-50 is a 3.7kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 15.0 mm. The maximum flow is 1300 LPM and the maximum head is 22.0 meters (72 feet). The rated head is 15.0 meters at a rated flow of 750.0 LPM. More details: https://www.hungpump.com/dsk"
161,DSK-50G-3,"Model DSK-50G-3 is a 3.7kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 15.0 mm. The maximum flow is 1300 LPM and the maximum head is 22.0 meters (72 feet). The rated head is 15.0 meters at a rated flow of 750.0 LPM. More details: https://www.hungpump.com/dsk"
162,DSK-75,"Model DSK-75 is a 5.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 20.0 mm. The maximum flow is 1400 LPM and the maximum head is 24.0 meters (79 feet). The rated head is 15.0 meters at a rated flow of 1000.0 LPM. More details: https://www.hungpump.com/dsk"
163,DSK-75-3,"Model DSK-75-3 is a 5.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 20.0 mm. The maximum flow is 1400 LPM and the maximum head is 24.0 meters (79 feet). The rated head is 15.0 meters at a rated flow of 1000.0 LPM. More details: https://www.hungpump.com/dsk"
164,DSP-10,"Model DSP-10 is a 750W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 30.0 mm. The maximum flow is 400 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 180.0 LPM. More details: https://www.hungpump.com/dsp"
165,DSP-10,"Model DSP-10 is a 750W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 30.0 mm. The maximum flow is 400 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 180.0 LPM. More details: https://www.hungpump.com/dsp"
166,DSP-20,"Model DSP-20 is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 40.0 mm. The maximum flow is 880 LPM and the maximum head is 18.0 meters (59 feet). The rated head is 12.0 meters at a rated flow of 410.0 LPM. More details: https://www.hungpump.com/dsp"
167,DSP-20,"Model DSP-20 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 40.0 mm. The maximum flow is 880 LPM and the maximum head is 18.0 meters (59 feet). The rated head is 12.0 meters at a rated flow of 410.0 LPM. More details: https://www.hungpump.com/dsp"
168,DSP-20T,"Model DSP-20T is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 40.0 mm. The maximum flow is 880 LPM and the maximum head is 18.0 meters (59 feet). The rated head is 12.0 meters at a rated flow of 410.0 LPM. More details: https://www.hungpump.com/dsp"
169,DSP-30,"Model DSP-30 is a 2.2kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 40.0 mm. The maximum flow is 1200 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 12.0 meters at a rated flow of 700.0 LPM. More details: https://www.hungpump.com/dsp"
170,DSP-30T,"Model DSP-30T is a 2.2kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 40.0 mm. The maximum flow is 1200 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 12.0 meters at a rated flow of 700.0 LPM. More details: https://www.hungpump.com/dsp"
171,DSP-30-3,"Model DSP-30-3 is a 2.2kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 40.0 mm. The maximum flow is 1200 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 12.0 meters at a rated flow of 700.0 LPM. More details: https://www.hungpump.com/dsp"
172,DSP-50,"Model DSP-50 is a 3.7kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 45.0 mm. The maximum flow is 1300 LPM and the maximum head is 22.0 meters (72 feet). The rated head is 12.0 meters at a rated flow of 870.0 LPM. More details: https://www.hungpump.com/dsp"
173,DSP-50T,"Model DSP-50T is a 3.7kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 45.0 mm. The maximum flow is 1300 LPM and the maximum head is 22.0 meters (72 feet). The rated head is 12.0 meters at a rated flow of 870.0 LPM. More details: https://www.hungpump.com/dsp"
174,DSP-75,"Model DSP-75 is a 5.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 50.0 mm. The maximum flow is 2100 LPM and the maximum head is 24.0 meters (79 feet). The rated head is 9.0 meters at a rated flow of 1250.0 LPM. More details: https://www.hungpump.com/dsp"
175,DSP-75T,"Model DSP-75T is a 5.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 50.0 mm. The maximum flow is 2100 LPM and the maximum head is 24.0 meters (79 feet). The rated head is 9.0 meters at a rated flow of 1250.0 LPM. More details: https://www.hungpump.com/dsp"
176,DSP-100,"Model DSP-100 is a 7.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 150.0 mm (6""), and can handle solids up to 65.0 mm. The maximum flow is 2500 LPM and the maximum head is 28.0 meters (92 feet). The rated head is 9.0 meters at a rated flow of 1800.0 LPM. More details: https://www.hungpump.com/dsp"
177,DSP-100T,"Model DSP-100T is a 7.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 150.0 mm (6""), and can handle solids up to 65.0 mm. The maximum flow is 2500 LPM and the maximum head is 28.0 meters (92 feet). The rated head is 9.0 meters at a rated flow of 1800.0 LPM. More details: https://www.hungpump.com/dsp"
178,DSP-100-3,"Model DSP-100-3 is a 7.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 150.0 mm (6""), and can handle solids up to 65.0 mm. The maximum flow is 2500 LPM and the maximum head is 28.0 meters (92 feet). The rated head is 9.0 meters at a rated flow of 1800.0 LPM. More details: https://www.hungpump.com/dsp"
179,DSP-150,"Model DSP-150 is a 11kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 150.0 mm (6""), and can handle solids up to 65.0 mm. The maximum flow is 3200 LPM and the maximum head is 32.0 meters (105 feet). The rated head is 12.0 meters at a rated flow of 2050.0 LPM. More details: https://www.hungpump.com/dsp"
180,DSP-150T,"Model DSP-150T is a 11kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 150.0 mm (6""), and can handle solids up to 65.0 mm. The maximum flow is 3200 LPM and the maximum head is 32.0 meters (105 feet). The rated head is 12.0 meters at a rated flow of 2050.0 LPM. More details: https://www.hungpump.com/dsp"
181,DSP-150,"Model DSP-150 is a 11kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 65.0 mm. The maximum flow is 3200 LPM and the maximum head is 32.0 meters (105 feet). The rated head is 12.0 meters at a rated flow of 2050.0 LPM. More details: https://www.hungpump.com/dsp"
182,DSP-150-3,"Model DSP-150-3 is a 11kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 65.0 mm. The maximum flow is 3200 LPM and the maximum head is 32.0 meters (105 feet). The rated head is 12.0 meters at a rated flow of 2050.0 LPM. More details: https://www.hungpump.com/dsp"
183,DSPK-10,"Model DSPK-10 is a 750W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 30.0 mm. The maximum flow is 400 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 180.0 LPM. More details: https://www.hungpump.com/dsp"
184,DSPK-10,"Model DSPK-10 is a 750W pump operating at 50Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 30.0 mm. The maximum flow is 400 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 180.0 LPM. More details: https://www.hungpump.com/dspk"
185,DSPK-100,"Model DSPK-100 is a 7.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 150.0 mm (6""), and can handle solids up to 65.0 mm. The maximum flow is 2500 LPM and the maximum head is 28.0 meters (92 feet). The rated head is 9.0 meters at a rated flow of 1800.0 LPM. More details: https://www.hungpump.com/dsp"
186,DSPK-150,"Model DSPK-150 is a 11kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 150.0 mm (6""), and can handle solids up to 65.0 mm. The maximum flow is 3200 LPM and the maximum head is 32.0 meters (105 feet). The rated head is 12.0 meters at a rated flow of 2050.0 LPM. More details: https://www.hungpump.com/dsp"
187,DSPK-20,"Model DSPK-20 is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 40.0 mm. The maximum flow is 880 LPM and the maximum head is 18.0 meters (59 feet). The rated head is 12.0 meters at a rated flow of 410.0 LPM. More details: https://www.hungpump.com/dsp"
188,DSPK-20,"Model DSPK-20 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 40.0 mm. The maximum flow is 880 LPM and the maximum head is 18.0 meters (59 feet). The rated head is 12.0 meters at a rated flow of 410.0 LPM. More details: https://www.hungpump.com/dspk"
189,DSPK-30,"Model DSPK-30 is a 2.2kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 40.0 mm. The maximum flow is 1200 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 12.0 meters at a rated flow of 700.0 LPM. More details: https://www.hungpump.com/dsp"
190,DSPK-50,"Model DSPK-50 is a 3.7kW pump operating at 50Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 45.0 mm. The maximum flow is 1300 LPM and the maximum head is 22.0 meters (72 feet). The rated head is 12.0 meters at a rated flow of 870.0 LPM. More details: https://www.hungpump.com/dspk"
191,DSPK-75,"Model DSPK-75 is a 5.5kW pump operating at 50Hz, 3-phase. It is categorized for nan applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 50.0 mm. The maximum flow is 2100 LPM and the maximum head is 24.0 meters (79 feet). The rated head is 9.0 meters at a rated flow of 1250.0 LPM. More details: https://www.hungpump.com/dspk"
192,FAS-150,"Model FAS-150 is a 150W pump operating at 50Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 40.0 mm (1-1/2""), and can handle solids up to 19.0 mm. The maximum flow is 230 LPM and the maximum head is 6.0 meters (20 feet). The rated head is 4.0 meters at a rated flow of 100.0 LPM. More details: https://www.hungpump.com/fas"
193,FAS-150,"Model FAS-150 is a 150W pump operating at 50Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 19.0 mm. The maximum flow is 230 LPM and the maximum head is 6.0 meters (20 feet). The rated head is 4.0 meters at a rated flow of 100.0 LPM. More details: https://www.hungpump.com/fas"
194,FAS-150A,"Model FAS-150A is a 150W pump operating at 50Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 19.0 mm. The maximum flow is 230 LPM and the maximum head is 6.0 meters (20 feet). The rated head is 4.0 meters at a rated flow of 100.0 LPM. More details: https://www.hungpump.com/fas"
195,FAS-250,"Model FAS-250 is a 250W pump operating at 50Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 40.0 mm (1-1/2""), and can handle solids up to 19.0 mm. The maximum flow is 270 LPM and the maximum head is 7.0 meters (23 feet). The rated head is 4.0 meters at a rated flow of 155.0 LPM. More details: https://www.hungpump.com/fas"
196,FAS-250,"Model FAS-250 is a 250W pump operating at 50Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 19.0 mm. The maximum flow is 270 LPM and the maximum head is 7.0 meters (23 feet). The rated head is 4.0 meters at a rated flow of 155.0 LPM. More details: https://www.hungpump.com/fas"
197,FAS-250A,"Model FAS-250A is a 250W pump operating at 50Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 19.0 mm. The maximum flow is 270 LPM and the maximum head is 7.0 meters (23 feet). The rated head is 4.0 meters at a rated flow of 155.0 LPM. More details: https://www.hungpump.com/fas"
198,FAS-400,"Model FAS-400 is a 400W pump operating at 50Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 19.0 mm. The maximum flow is 320 LPM and the maximum head is 9.0 meters (30 feet). The rated head is 6.0 meters at a rated flow of 200.0 LPM. More details: https://www.hungpump.com/fas"
199,FAS-750,"Model FAS-750 is a 750W pump operating at 50Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 19.0 mm. The maximum flow is 380 LPM and the maximum head is 12.0 meters (39 feet). The rated head is 8.0 meters at a rated flow of 215.0 LPM. More details: https://www.hungpump.com/fas"
200,FVS-400L,"Model FVS-400L is a 400W pump operating at 50Hz, 1-phase. It is categorized for nan applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 19.0 mm. The maximum flow is 330 LPM and the maximum head is 8.5 meters (28 feet). The rated head is 6.0 meters at a rated flow of 185.0 LPM. More details: https://www.hungpump.com/fvs"
201,GC-07,"Model GC-07 is a 550W pump operating at 50Hz, 1-phase. It is categorized for Grinder applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to nan mm. The maximum flow is 145 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 110.0 LPM. More details: https://www.hungpump.com/gc"
202,GC-07,"Model GC-07 is a 550W pump operating at 50Hz, 3-phase. It is categorized for Grinder applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to nan mm. The maximum flow is 145 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 110.0 LPM. More details: https://www.hungpump.com/gc"
203,GCB-07,"Model GCB-07 is a 550W pump operating at 50Hz, 1-phase. It is categorized for Grinder applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to nan mm. The maximum flow is 130 LPM and the maximum head is 13.0 meters (42 feet). The rated head is 8.0 meters at a rated flow of 105.0 LPM. More details: https://www.hungpump.com/gcb"
204,GCB-07,"Model GCB-07 is a 550W pump operating at 50Hz, 1-phase. It is categorized for Grinder applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to nan mm. The maximum flow is 130 LPM and the maximum head is 13.0 meters (42 feet). The rated head is 8.0 meters at a rated flow of 105.0 LPM. More details: https://www.hungpump.com/gcb"
205,GC-10,"Model GC-10 is a 750W pump operating at 50Hz, 1-phase. It is categorized for Grinder applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to nan mm. The maximum flow is 160 LPM and the maximum head is 15.0 meters (49 feet). The rated head is 9.0 meters at a rated flow of 115.0 LPM. More details: https://www.hungpump.com/gc"
206,GC-10A,"Model GC-10A is a 750W pump operating at 50Hz, 1-phase. It is categorized for Grinder applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to nan mm. The maximum flow is 160 LPM and the maximum head is 15.0 meters (49 feet). The rated head is 9.0 meters at a rated flow of 115.0 LPM. More details: https://www.hungpump.com/gc"
207,GC-10,"Model GC-10 is a 750W pump operating at 50Hz, 3-phase. It is categorized for Grinder applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to nan mm. The maximum flow is 160 LPM and the maximum head is 15.0 meters (49 feet). The rated head is 9.0 meters at a rated flow of 115.0 LPM. More details: https://www.hungpump.com/gc"
208,GCB-10,"Model GCB-10 is a 750W pump operating at 50Hz, 1-phase. It is categorized for Grinder applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to nan mm. The maximum flow is 200 LPM and the maximum head is 17.0 meters (55 feet). The rated head is 10.0 meters at a rated flow of 160.0 LPM. More details: https://www.hungpump.com/gcb"
209,GCB-10,"Model GCB-10 is a 750W pump operating at 50Hz, 1-phase. It is categorized for Grinder applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to nan mm. The maximum flow is 200 LPM and the maximum head is 17.0 meters (55 feet). The rated head is 10.0 meters at a rated flow of 160.0 LPM. More details: https://www.hungpump.com/gcb"
210,GC-20,"Model GC-20 is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for Grinder applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to nan mm. The maximum flow is 180 LPM and the maximum head is 25.0 meters (82 feet). The rated head is 15.0 meters at a rated flow of 150.0 LPM. More details: https://www.hungpump.com/gc"
211,GC-20,"Model GC-20 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for Grinder applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to nan mm. The maximum flow is 180 LPM and the maximum head is 25.0 meters (82 feet). The rated head is 15.0 meters at a rated flow of 150.0 LPM. More details: https://www.hungpump.com/gc"
